номер;на день в общем;на любовь/отношения;на работу и финансы
10; Неприятности в прошлом. Триумфальный успех. Авантюризм и лидерство. Новый виток судьбы. Всё намного лучше, чем кажется. Мистические знаки. Вы свято верите в удачу. Только другие карты в раскладе могут раскрыть, на какую удачу можете претендовать. Фортуна же, как Карта дня, показывает, что она сейчас в принципе на вашей стороне. Она требует вашего постоянного развития и стремления к росту.;Редкие встречи. Каждый занят своим. Знакомство. Неожиданная встреча или телефонный звонок. Прямое положение Колеса Фортуны обещает органичное изменение сложившейся в настоящем ситуации без влияния на неё человека. Колесо Фортуны непредсказуемо, поэтому будьте готовы как к порывам страсти, так и к возможным разрывам отношений.; Удача во всем, что связано с играми. Большой куш, выигрыш. Проблемы, которые нужно преодолеть для получения должности. Помощь от случайного человека. Странная и запутанная задача. В прямом положении сама судьба вас толкнёт к истинному призванию, удача будет незапланированной, но принесёт в профессиональную деятельность неожиданные приятные перспективы.
11;Судебные трения или наложения ответственности. Штраф. Расплата вопрошающего за свою вину. Помощь от чужого человека. Сдача экзаменов. Неожиданный итог.  Вы уже понимаете, что в мире всё обстоит именно так, как доступно сейчас для вашего восприятия. Раньше вы заблуждались. В стремлении к балансу не забывайте – любое правосудие должно быть беспристрастным и честным.;Полный разрыв отношений или бракосочетание. Встреча человека данного судьбой. Прямое положение карты Справедливость в раскладе указывает на недостаток романтики в отношениях, что компенсирует ваша порядочность. Такой союз может быть выгодным для обоих, однако Правосудие также может призывать вас делать выбор. В любом случае задействуйте свой интеллект и контролируйте свой эмоциональный фон.;Грядут проверки и затруднения. Невозможность сменить должность. Устройство на постоянную работу. Прямое положение карты взывает к вашей сдержанности и рассудительности в решении проблем — только так можно добиться финансового успеха. Тщательно выбирайте деловых партнёров, не доверяйте тем из них, о ком вам ничего не известно, в противном случае можно легко упасть с достигнутой вершины.
12;Необходимо остановится и переосмыслить происходящее. Смена приоритетов, назначенных целей. Жертва ради будущего. Отказ от предубеждений. Армейская служба. Кармическая развязка. Вы хотите постигнуть смысл высшей философии и мироустройства, для чего необходимо отказаться от привычного способа мышления. Именно неумение выходить за рамки сознания привело к такому подвешенному состоянию и не даёт пройти дальше. ;Новый ухажер. Мучение в паре из-за нежелания принести в жертву собственное эго. Напрасная попытка восстановления контакта. Долгое, томительное одиночество. Значение карты Таро Повешенный в прямом положении — ваши отношения переживают кризис, который случился не внезапно, а длится продолжительное время. Чтобы разрешить ситуацию положительно, потребуется совершать активные действия и чем-то жертвовать. ;«Мёртвая» точка. Чтобы выйти из тупика, нужен отказ от привычной тактики. Тяжкий труд. Полная самоотдача делу. Сложная, малооплачиваемая работа. Неблагодарность от начальства. Прямая карта Таро Повешенный призывает не бояться осваивать новые практики, стремиться всячески приобретать умения, ведь вы к этому готовы. Если вы принесёте в жертву работе свои время и силы, поменяете точку зрения — вас ожидают хоть и не стабильные, но ощутимые материальные выгоды. 
13;Благие перемены. Переживание из-за происходящего. Осмысление пройденного пути. Болезненное восприятие действительности. Суета и усталость. Любопытство. Вы отчаянно сопротивляетесь переменам, что не позволяет сделать новые полезные открытия и расчистить дорогу в новое светлое будущее. Вам необходимо глубокое очищение, своеобразная «смерть», — только так жизнь не будет стоять на месте, а сможет обновиться. Не упускайте шанса быть счастливым!;Нервозность, ревность. Препятствия в отношениях. Губительная попытка что-то изменить. Карта в прямом положении знаменует окончание какого-то важного жизненного этапа. Это может быть как разрыв длительных отношений, развод, конец безответной любви, так и переход любовной связи на новый этап. В любом случае старой жизни конец, а вас ждёт совершенно новая, в которой возможен совершенно любой неожиданный исход.;Надоедливые дела полные мелких проблем. Утомление. Беготня. Деловые встречи. Большой выбор для устройства на работу. Прямая карта означает глобальные перемены, это может быть и увольнение, и смена профессии, и даже разрушение бизнеса. Также возможны взлёты и падения с карьерной лестницы, ваша жизнь сильно изменится и выйдет на новый уровень.
14;Аккуратность и размеренность во всём. Путаница со временем. Принципиальность и честность сыграют «на руку». Наведение порядка в доме, делах и своей голове. Вам следует сохранять спокойствие и стремиться сохранить внутреннее равновесие, избегать неумеренности в погоне за материальными благами и проявлять терпимость и стойкость. Во всём нужна золотая середина, избыток может нарушить гармонию и разрушить ваши планы.;долгие отношения. Планомерное общение. Прямая карта обещает гармонию и стабильность в отношениях, ей характерны отсутствие накала страстей и негатива. Если вы обладаете горячим темпераментом, значение Умеренности может показаться скучным, однако тем, кто ищет баланса, карта несёт долгожданное спокойствие.;постоянная работа. Дополнительной прибыли или дохода не предвидится. Новая работа с разумной оплатой. В прямом положении Умеренность Таро говорит о вашей способности приходить к компромиссу в сотрудничестве с другими людьми, уделять необходимое время труду. Карта означает, что сейчас в вашей работе отсутствует какое-либо напряжение, и вы легко справляетесь с авралами. Такому человеку подойдут профессии, требующие высокой координации и самообладания. 
15;Жадность, агрессия. Неумение обуздать свой характер. Излишняя амбициозность или пассивность. Тупик в развитии событий по личным причинам. Жажда наживы и наслаждений. ;Зависимость в отношениях. Отсутствие духовного. Материальный интерес у одного из партнеров. Сожительство, гражданский брак. Служебные интрижки. Вы ревнуете своего партнера, пытаетесь контролировать все сферы его жизни, проявляя жестокость и страсть к различным манипуляциям. Вы мучаете любимого человека, при этом страдаете сами. ;Незаконная прибыль. Кредит или крупный займ. Переменчивая удача. Прямое положение Дьявола сулит испытания, которыми вы сможете проверить себя на прочность. Следует остерегаться манипуляций со стороны третьих лиц и недобросовестных партнеров. Вы предпочитаете зарабатывать деньги нечестным путём или ведёте сомнительный теневой бизнес.
16;Трагическое событие. Злой рок. Катастрофа. Насилие. Скоропостижный переезд. Побег. Переосмысление внутренних устоев. Эмпатия, но, иногда, вампиризм. Ремонтные работы. Вы – эгоистичны, сострадание и прочие человеческие качества вам чужды, все намерения сводятся к личным целям и достижению материальных благ. Оказавшись в ситуации внутреннего конфликта, вы отказываетесь замечать перемены, работать над собой и становиться лучше.;Спор, ссора. Недопонимание. Измена, предательство. Смена любовника. Расставание. Редко, изнасилование. Для ваших чувств настал момент испытания правдой, которую вы долго скрывали, либо не хотели замечать. Значение карты Таро Башня также может нести освобождение от долгого и мучительного союза, в котором вы чувствовали себя словно взаперти. Привычный уклад отношений, в любом случае, претерпит изменения.;Неожиданные изменения. Смена работы. Дрязги и сплетни в коллективе. Жёсткая конкуренция. Опасность разорения. Прямое положение карты сулит неудачи в профессиональной сфере, борьбу с конкурентами, которая окончится не в вашу пользу и может быстро привести к банкротству. Вы стремительно «падаете вниз»: теряете былое влияние, уважение коллег и деньги, ради получения которых неудачно рискнули.
17;Защита свыше. Возможность реализовать творческий потенциал. Помощь и поддержка. Ощущение счастья. Старание на благо своего будущего.  Звезда имеет самое позитивное значение. Открывает широкие перспективы на пути к светлому будущему, к которому она вас поведёт. Сейчас вы находитесь на самом высоком пределе своих возможностей. Удача, несомненно, на вашей стороне и легко проведёт, при необходимости, через всевозможные препятствия. ;Романтические встречи. Очарованность. Для мужчины обозначает встречу с женщиной судьбы. Прямая карта говорит, что любовный союз имеет большие благоприятные перспективы, в нем каждый из вас наилучшим образом сможет себя реализовать. Ваши отношения можно назвать партнёрскими и надёжными, они гармоничные, чуткие, страстные, наполнены красотой и обоюдным вдохновением. Карта указывает на такие отношения, в которых вам не суждено разочароваться, а совместные желания должны исполниться.;Шанс на повышение. Изучение нового. Раскрытие новых способностей. Развитие и продвижение малоизвестной темы. Удачно найденная работа. Прямой Аркан в профессиональной сфере открывает перед вами большие возможности и многообещающие перспективы. Сейчас вы находитесь в нужном месте, в нужное время и занимаетесь тем, что принесёт признание и успех. Вам не просто выпала возможность реализовать себя — нынешняя деятельность принесёт и удовлетворение, и хороший доход в будущем. 
18;Самообман. Опасность и препятствия. Ложь, лицемерие со стороны. Принятие иллюзий за истину. «Слякоть» на душе.  Вы очень глубоко погрузились в придуманный мир иллюзий. Искусственная реальность искажает вашу личность, ведёт к неврозу, меняя не в лучшую сторону и окружающий мир. Используйте только разум, не поддаваясь противоречивым эмоциям, которые сейчас могут только навредить.;Неискренность чувств. Преследование личных целей. Обман, предательство. Прямая карта – верный знак тревожного и смутного периода в отношениях, в которых вы чувствуете себя болезненно и неуютно. Скорее всего, опасения не напрасны. Велика угроза измены и неожиданного предательства от близкого человека, который откроется для вас с совершенно другой стороны.;Конкуренты, «подсадные утки», враги. Нестабильность на рабочем месте. Контракты с подвохом. Усиленный поиск работы. В прямом положении Луна указывает на страхи относительно трудовой деятельности, для успеха которой вы используете не совсем законные методы, проводите сомнительные сделки и имеете дело с не чистыми на руку людьми. Вы рискуете попасть под дурное влияние, разочароваться в партнерах и столкнуться с различными трудностями. 
19;Успех. Триумф. Заслуженное уважение и авторитет. Почести и почет. Радость. Праздник. Ясность и яркость ума. Приятные известия. Наследство. Дорогостоящая покупка. Поддержка свыше. Вы готовы к тому, чтобы доверять самому себе, уверены в собственных силах, познали и осознали себя и свою «солнечную» натуру. Это новый уровень, не имеющий ничего общего с бегством от самого себя, которое если и имело место, то осталось в прошлом.; Судьбоносные знакомства. Надёжность партнёров. Верность. Любовь. Примирение, помолвка и заключение счастливого брака. Взаимные интересы. Основные значения прямой карты Таро Солнца в любви — это счастье, наслаждение от отношений, гармония, тепло, взаимное доверие, желание быть щедрым, искренним. Речь идёт о счастливой семье. Ваш партнёр, наверняка, достойный порядочный человек и обращается к вам только с благими намерениями. ;Прекрасные внутри коллективные отношения. Стабильный финансовый поток. Найденная работа идеально подходит спрашивающему. Прямая карта говорит о том, что для вашей профессиональной деятельности наступила белая полоса, вы ступили на этап процветания и благополучия. Вы удовлетворены своей работой и полученными результатами. Тепло относитесь к рабочему коллективу, и он отвечает взаимностью, вас уважают и ценят. Впереди ждёт профессиональный рост, успешная самореализация, выгодные вложения и хорошая прибыль от них.
20;Переоценка знаний и ценностей. Возврат к незавершённым делам с новыми знаниями. Мудрость. Ответственность. Привязанность к семье. Может означать кармическое воздаяние. Затишье перед «бурей». Сейчас открылись скрытые ранее тёмные стороны вашей личности, о которых вы либо не подозревали, либо вообще не думали. Теперь следует посмотреть им в лицо и освободиться от них. Пробуждение вашего сознания вызвано происходящими изменениями, которых не стоит бояться, а надлежит принять. ;Бумажное оформление отношений, будь то брак или развод. Разговоры по «душам» и принятие решений о будущем. Прямая карта Таро Суд сулит новые обретения в личных отношениях. Если человек был одинок – встретит партнёра, если люди уже находятся в союзе – отношения выйдут на новый уровень. Карта говорит о наступлении внутренних изменений, которые помогут разрушить преграды на пути к личному счастью, оставить проблемы в прошлом и извлечь необходимые уроки.;Необходимость молниеносных мер к ситуации. Быстрое принятие решения. Переговоры. Испытательные сроки, собеседования. Приём на работу или увольнение. При прямом положении Суд означает серьёзные и позитивные изменения в профессиональной деятельности, её оживление, возвещая о том, что рабочая рутина осталась позади и больше не про вас. Вы можете рассчитывать на то, что любые проекты удачно завершатся и принесут успех, а возникшие проблемы разрешатся в вашу пользу. 
21; Мудрые и правильные решения. Получение знаний, важного опыта и нужной информации. Дальняя поездка. Смена взгляда на мир (жизнь). Спектр влияния карты очень широк, она по факту касается всех сторон жизни человека, и если она выпала прямо, это всегда позитив, победа, удовлетворение, наслаждение, радость. Всё хорошее сегодня валится на вас как из рога изобилия, не нужно прикладывать каких-либо усилий, на самом деле вы это заслужили. Вы вошли в гармонию с миром и он начал вам отвечать тем же.;Спасение умирающих чувств, возобновление общения. Новый этап в отношениях. В личном аспекте Мир обещает обретение долгожданного семейного счастья, встреча человека по судьбе. Получение какой-то вещи или информации, которая гармонизирует ваше текущее состояние. Вы обретёте то, чего вам в действительности не хватало, это вполне может быть не то, о чём вы мечтали. Просто высшие силы видят лучше и знают больше о том, что вам нужно, со временем вы поймёте это. Просто доверьтесь происходящему.;Расширение бизнеса. Увеличение поля деятельности. Приобретение важных контактов. Повышение по службе. Большой выбор рабочих мест (трудно определиться). Правильный Мир говорит о том, что вы на своём месте в профессиональной сфере или скоро его займёте. Важно помнить, что больше всего карта способствует людям активным, увлечённым тем, чем они занимаются. На работе идиллия и штиль, доход стабилен и высок. Ищите новые перспективы, где можете проявить свои таланты, не стойте на месте, ведь нет предела совершенству.
